Time - Dev6/ai0	Amplitude - Dev6/ai0
3796210839	-1,86744
3796210839	-1,86871
3796210839	-1,73882
3796210839	-1,80886
3796210839	-1,77957
3796210839	-1,6777
3796210839	-1,76556
3796210839	-1,71463
3796210839	-1,70826
3796210839	-1,47395
3796210839	-1,68406
3796210839	-1,58728
3796210839	-1,51725
3796210839	-1,56691
3796210839	-1,40009
3796210839	-1,4714
3796210839	-1,18616
3796210839	-1,36953
3796210839	-1,26256
3796210839	-1,52234
3796210839	-1,51088
3796210839	-1,48669
3796210839	-1,44466
3796210839	-1,04608
3796210839	2,78944
3796210839	-4,67531
3796210839	-1,27912
3796210839	-0,998968
3796210839	-1,0359
3796210839	-0,737918
3796210839	-0,762113
3796210840	-0,590202
3796210840	-0,506157
3796210840	-0,385183
3796210840	-0,222186
3796210840	-0,0935714
3796210840	0,311374
3796210840	0,418341
3796210840	0,396693
3796210840	0,0630584
3796210840	-0,782488
3796210840	-1,50197
3796210840	-1,97822
3796210840	-2,16414
3796210840	-2,00114
3796210840	-1,82541
3796210840	-1,82923
3796210840	-1,61657
3796210840	-1,54144
3796210840	-1,85215
3796210840	-1,64586
3796210840	-1,75283
3796210840	-1,80377
3796210840	-1,80504
3796210840	-1,66751
3796210840	-1,77957
3796210840	-1,70571
3796210840	-1,7592
3796210840	-1,66369
3796210840	-1,79612
3796210840	-1,66114
3796210840	-1,72481
3796210840	-1,68406
3796210840	-1,60511
3796210840	-1,58601
3796210840	-1,75538
3796210840	-1,64841
3796210840	-1,51215
3796210840	-1,2944
3796210840	-1,45103
3796210840	-1,60893
3796210840	-1,63058
3796210840	-1,77957
3796210840	-1,7923
3796210840	-1,65096
3796210840	-1,53507
3796210840	2,14764
3796210840	-1,63185
3796210840	-2,94984
3796210840	-1,3759
3796210840	-1,27021
3796210841	-1,1556
3796210841	-0,950578
3796210841	-0,993874
3796210841	-0,695896
3796210841	-0,693349
3796210841	-0,534172
3796210841	-0,378816
